
=== OneRoom  lagrange_mult=0.001  (20260802_232246) ===
220000-225000   0.1580          5    
225000-230000   0.2610          5    
230000-235000   0.1735          5    
235000-240000   0.1570          5    
240000-245000   0.2245          5    
245000-250000   0.2928          5    
250000-255000   0.4026          5    
255000-260000   0.3530          5    
260000-265000   0.1835          5    
265000-270000   0.2029          5    
270000-275000   0.2768          5    
275000-280000   0.2855          5    
280000-285000   0.1858          5    
285000-290000   0.1713          5    
290000-295000   0.1768          5    
295000-300000   0.1980          5    

=== TwoRoom  lagrange_mult=0.9  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4631          6    
  5000-10000    0.4544          5    
 10000-15000    0.4493          5    
 15000-20000    0.4465          5    
 20000-25000    0.4383          5    
 25000-30000    0.4282          5    
 30000-35000    0.4037          5    
 35000-40000    0.4201          5    
 40000-45000    0.4041          5    
 45000-50000    0.4170          5    
 50000-55000    0.3660          5    
 55000-60000    0.3703          5    
 60000-65000    0.3259          5    
 65000-70000    0.3260          5    
 70000-75000    0.3029          5    
 75000-80000    0.3138          5    
 80000-85000    0.3568          5    
 85000-90000    0.3871          5    
 90000-95000    0.3367          5    
 95000-100000   0.3096          5    
100000-105000   0.2744          5    
105000-110000   0.2430          5    
110000-115000   0.3417          5    
115000-120000   0.3367          5    
120000-125000   0.2835          5    
125000-130000   0.2419          5    
130000-135000   0.3129          5    
135000-140000   0.3092          5    
140000-145000   0.3436          5    
145000-150000   0.2857          5    
150000-155000   0.2657          5    
155000-160000   0.3034          5    
160000-165000   0.5695          5    
165000-170000   0.3775          5    
170000-175000   0.2548          5    
175000-180000   0.2924          5    
180000-185000   0.3333          5    
185000-190000   0.2644          5    
190000-195000   0.2993          5    
195000-200000   0.3494          5    
200000-205000   0.2289          5    
205000-210000   0.2608          5    
210000-215000   0.2748          5    
215000-220000   0.1279          5    
220000-225000   0.2653          5    
225000-230000   0.2927          5    
230000-235000   0.2649          5    
235000-240000   0.2068          5    
240000-245000   0.2270          5    
245000-250000   0.2441          5    
250000-255000   0.2497          5    
255000-260000   0.2718          5    
260000-265000   0.2732          5    
265000-270000   0.2357          5    
270000-275000   0.2934          5    
275000-280000   0.2805          5    
280000-285000   0.2962          5    
285000-290000   0.1327          5    
290000-295000   0.2096          5    
295000-300000   0.3012          5    

